STATE,VOTES_D,PERC_D,EV_D,VOTES_R,PERC_R,EV_R
AL,"729,547",34.40%,,"1,318,255",62.10%,9
AK,"116,454",36.60%,,"163,387",51.30%,3
AZ,"1,161,167",45.10%,,"1,252,401",48.70%,11
AR,"380,494",33.70%,,"684,872",60.60%,6
CA,"8,753,788",61.70%,55,"4,483,810",31.60%,
CO,"1,338,870",48.20%,9,"1,202,484",43.30%,
CT,"897,572",54.60%,7,"673,215",40.90%,
DE,"235,603",53.40%,3,"185,127",41.90%,
Dist. of Col.,"282,830",90.90%,3,"12,723",4.10%,
FL,"4,504,975",47.80%,,"4,617,886",49.00%,29
GA,"1,877,963",45.90%,,"2,089,104",51.00%,16
HI,"266,891",62.20%,3*,"128,847",30.00%,
ID,"189,765",27.50%,,"409,055",59.30%,4
IL,"3,090,729",55.80%,20,"2,146,015",38.80%,
IN,"1,033,126",37.80%,,"1,557,286",56.90%,11
IA,"653,669",41.70%,,"800,983",51.10%,6
KA,"427,005",36.10%,,"671,018",56.70%,6
KY,"628,854",32.70%,,"1,202,971",62.50%,8
LA,"780,154",38.40%,,"1,178,638",58.10%,8
ME,"357,735",47.80%,3,"335,593",44.90%,1
MD,"1,677,928",60.30%,10,"943,169",33.90%,
MA,"1,995,196",60.00%,11,"1,090,893",32.80%,
MI,"2,268,839",47.30%,,"2,279,543",47.50%,16
MN,"1,367,716",46.40%,10,"1,322,951",44.90%,
MS,"485,131",40.10%,,"700,714",57.90%,6
MO,"1,071,068",38.10%,,"1,594,511",56.80%,10
MT,"177,709",35.90%,,"279,240",56.50%,3
NE,"284,494",33.70%,,"495,961",58.70%,2
CD-1,"100,126",35.50%,,"158,626",56.20%,1
CD-2,"131,030",44.90%,,"137,564",47.20%,1
CD-3,"53,290",19.70%,,"199,657",73.90%,1
NV,"539,260",47.90%,6,"512,058",45.50%,
NH,"348,526",46.80%,4,"345,790",46.50%,
NJ,"2,148,278",55.50%,14,"1,601,933",41.40%,
NM,"385,234",48.30%,5,"319,666",40.00%,
NY,"4,556,124",59.00%,29,"2,819,534",36.50%,
NC,"2,189,316",46.20%,,"2,362,631",49.80%,15
ND,"93,758",27.20%,,"216,794",63.00%,3
OH,"2,394,164",43.60%,,"2,841,005",51.70%,18
OK,"420,375",28.90%,,"949,136",65.30%,7
OR,"1,002,106",50.10%,7,"782,403",39.10%,
PA,"2,926,441",47.90%,,"2,970,733",48.60%,20
RI,"252,525",54.40%,4,"180,543",38.90%,
SC,"855,373",40.70%,,"1,155,389",54.90%,9
SD,"117,458",31.70%,,"227,721",61.50%,3
TN,"870,695",34.70%,,"1,522,925",60.70%,11
TX,"3,877,868",43.20%,,"4,685,047",52.20%,36*
UT,"310,676",27.50%,,"515,231",45.50%,6
VT,"178,573",56.70%,3,"95,369",30.30%,
VA,"1,981,473",49.80%,13,"1,769,443",44.40%,
WA,"1,742,718",54.30%,8*,"1,221,747",38.10%,
WV,"188,794",26.50%,,"489,371",68.60%,5
WI,"1,382,536",46.50%,,"1,405,284",47.20%,10
WY,"55,973",21.90%,,"174,419",68.20%,3